link,actual,simulated,actual (norm),simulated (norm)
spine1{/Symbol \256}leaf1,2232152190,2075062680,1,1
spine1{/Symbol \256}leaf2,1588062346,1482000080,0.711448956,0.714195332
spine1{/Symbol \256}leaf3,5073677632,4742662760,2.272998075,2.285551567
spine1{/Symbol \256}leaf4,896,0,4.01406E-07,0
spine2{/Symbol \256}leaf1,2536955818,2371200000,1.136551454,1.14271247
spine2{/Symbol \256}leaf2,4119679702,3853462752,1.84560879,1.857034387
spine2{/Symbol \256}leaf3,1286670180,1185600064,0.576425831,0.571356266
spine2{/Symbol \256}leaf4,2211731044,2075062688,0.990851365,1.000000004
leaf1{/Symbol \256}spine1,3543377024,3260400128,1.58742627,1.571229708
leaf2{/Symbol \256}spine1,4188446314,3853462712,1.876416103,1.857034368
leaf3{/Symbol \256}spine1,24336,16,1.09025E-05,7.71061E-09
leaf4{/Symbol \256}spine1,1314313374,1185862664,0.58880993,0.571482816
leaf1{/Symbol \256}spine2,1293383330,1185862784,0.579433309,0.571482874
leaf2{/Symbol \256}spine2,1600964376,1482000064,0.717229042,0.714195324
leaf3{/Symbol \256}spine2,6349501058,5928262656,2.844564581,2.856907752
leaf4{/Symbol \256}spine2,963116030,889200000,0.431474177,0.428517176
